District,Name,White ,Black / African American,Hispanic / Latino,Asian,Other,Racial Diversity Index,Seniors - 65 and Older,Families with Own Children Under 18,Median Household Income,Below FPL,Rental Vacancy Rate,Rent Burdened,Owner Occupied Housing,NYCHA Units ,Section 8 Units,Rent Stabilized Units,Code Violations 2020,Code Violations 2022,2022 Violations per 100 units,Percent Renters,Percent Overcrowded,1-4Fam,5-19Unit,20+Unit,Population / Acre,New Construction,Preservation,Total Financed Calc,Total Financed,,CD,New Construction - Extremely Low Income,New Construction - Very Low Income,New Construction - Low Income,New Construction - Moderate Income,New Construction - Middle Income,New Construction - Other,Total New Construction,Affordable New Construction Rank,New Construction 2014-2021,New Construction 2022,Preservation - Extremely Low Income,Preservation - Very Low Income,Preservation- Low Income,Preservation - Moderate Income,Preservation- Middle Income,Preservation - Other,Total Preservation,Extremely Low Income Total,Very Low Income Total,Low Income Total,Moderate Income Total,Middle Income Total,Other Total ,Affordable Total,Housing Units 2021,New Units 2022,Housing Units 2022,Increase,,NYCHA Capital Needs,Expiring Affordable Units,,,,
District 1,Christopher Marte,50,4,12,31,3,0.64,17.1%,16.2%,"$107,731",15.1%,3.6%,41.6%,22.5%," 4,959 ",819," 22,000 ","3,742","7,638",8.0,77.5%,4.6%,4.3%,19.0%,76.6%,92.6,"1,114","3,632","4,746","4,746",,1,116,264,791,99,161,4,1435,22,"1,177",258,620,1268,1392,489,95,8,3872,736,1532,2183,588,256,12,5307,"95,629",49,"95,678",0.05%,,"$1,143,754,965 ","4,380",,,,
District 2,Carlina Rivera,54,8,19,16,2,0.64,15.2%,10.0%,"$89,488",18.6%,5.7%,42.2%,22.4%," 9,496 ","1,811"," 26,000 ","5,168","8,399",8.7,77.6%,2.6%,4.0%,19.8%,76.1%,147.9,328,"4,152","4,480","4,480",,2,16,69,169,26,103,3,386,35,386,,740,1426,1415,109,451,11,4152,756,1495,1584,135,554,14,4538,"96,820",98,"96,918",0.10%,,"$2,251,510,612 ","2,042",,,,
District 3,Erik Bottcher,65,4,14,14,3,0.54,14.5%,8.7%,"$169,278",10.5%,5.4%,40.2%,27.1%," 2,071 ",998," 29,000 ","5,145","9,721",7.4,72.9%,2.8%,6.3%,18.2%,75.2%,91.4,"1,937","3,360","5,297","5,297",,3,0,306,1620,178,409,2,2515,12,"2,303",212,1040,487,540,597,690,6,3360,1040,793,2160,775,1099,8,5875,"131,105","1,061","132,166",0.80%,,"$491,554,321 ","1,641",,,,
District 4,Keith Powers,72,3,8,14,3,0.45,22.4%,13.9%,"$156,132",6.5%,6.7%,42.3%,40.1%, -   ,189," 24,000 "," 1,855 ","4,285",3.7,59.9%,2.0%,4.2%,8.9%,86.9%,97.4,453,"5,620","6,073","6,073",,4,0,44,351,16,72,0,483,33,482,1,4,281,507,103,4725,0,5620,4,325,858,119,4797,0,6103,"116,004",94,"116,098",0.08%,,0,525,,,,
District 5,Julie Menin,72,3,10,12,3,0.46,19.5%,16.0%,"$130,082",5.7%,5.8%,40.5%,30.1%," 1,769 ",905," 20,000 "," 2,660 ","5,609",5.3,69.9%,2.7%,3.3%,14.2%,82.5%,196.5,490,783,"1,273","1,273",,5,31,116,217,68,200,1,633,30,619,14,619,181,101,11,0,3,915,650,297,318,79,200,4,1548,"106,075",4,"106,079",0.00%,,"$383,687,780 ","9,043",,,,
District 6,Gale Brewer,68,5,14,10,3,0.5,21.5%,16.3%,"$131,524",9.2%,5.4%,37.5%,35.7%," 2,756 ","1,829"," 23,000 "," 3,885 ","7,031",6.6,64.3%,2.3%,4.6%,15.5%,79.7%,98.6,843,"1,256","2,099","2,099",,6,11,245,566,87,12,2,923,24,920,3,449,1236,423,9,50,8,2175,460,1481,989,96,62,10,3098,"105,848",88,"105,936",0.08%,,"$691,247,736 ",651,,,,
District 7,Shaun Abreu,26,18,45,8,3,0.69,15.3%,18.30%,"$58,614",22.5%,2.7%,49.40%,15.20%," 6,094 ","3,410"," 30,000 "," 17,290 ","26,069",37.3,84.8%,3.5%,4.61%,15%,79.99%,141.1,444,"2,576","3,020","3,020",,7,129,24,262,0,32,3,450,34,445,5,888,761,939,698,19,21,3326,1017,783,1201,700,51,24,3776,"69,856",3,"69,859",0.00%,,"$1,236,159,527 ","1,321",,,,
District 8,Diana Ayala,7,28,59,4,2,0.57,11.2%,26.3%,"$30,690",37.2%,3.0%,51.0%,6.0%," 18,293 ","7,742"," 26,000 ","14,126","23,737",32.8,94.0%,4.7%,8.7%,16.4%,74.7%,76.4,"4,789","8,961","13,750","13,750",,8,1243,724,1922,477,1247,20,5633,3,"5,173",460,2651,4319,1700,645,107,52,9474,3894,5043,3622,1122,1354,72,15107,"70,956","1,374","72,330",1.90%,,"$4,300,912,020 ","2,067",,,,
District 9,Kristin Richardson Jordan,14,53,27,4,3,0.63,11.5%,21.7%,"$53,139",25.3%,4.3%,45.1%,13.1%," 10,966 ","4,060"," 29,000 ","18,727","32,376",40.1,86.9%,2.5%,10.3%,22.9%,66.7%,133.1,"1,247","11,839","13,086","13,086",,9,369,289,512,82,372,11,1635,19,"1,356",279,2010,3848,3804,1628,921,87,12298,2379,4137,4316,1710,1293,98,13933,"80,671",53,"80,724",0.07%,,"$2,379,655,944 ","4,252",,,,
District 10,Carmen De La Rosa,20,6,69,3,2,0.48,14.9%,21.9%,"$59,012",19.9%,1.6%,48.0%,9.0%," 2,243 ","4,335"," 43,000 ","21,295","27,736",42.9,91.0%,5.0%,3.2%,9.8%,86.9%,105.7,428,"1,103","1,531","1,531",,10,207,143,351,69,23,3,796,25,446,350,158,252,370,111,237,13,1141,365,395,721,180,260,16,1937,"64,709",10,"64,719",0.02%,,"$250,537,805 ",780,,,,
