Council District,CB First,Name1,Homeless1,CB Second,Name 2,Homeless2,CB Third,Name 3,Homeless3
1,MN 1,Manhattan CB 1,426,MN 2,Manhattan CB 2,29,MN 3,Manhattan CB 3,310
2,MN 3,Manhattan CB 3,310,MN 6,Manhattan CB 6,87,MN 5,Manhattan CB 5,86
3,MN 2,Manhattan CB 2,29,MN 4,Manhattan CB 4,201,MN 5,Manhattan CB 5,86
4,MN 5,Manhattan CB 5,86,MN 6,Manhattan CB 6,87,MN 8,Manhattan CB 8,56
5,MN 8,Manhattan CB 8,56,,,,,,
6,MN 7,Manhattan CB 7,184,,,,,,
7,MN 9,Manhattan CB 9,298,,,,,,
8,MN 11,Manhattan CB 11,661,BX 1,Bronx CB 1,1030,,,
9,MN 10,Manhattan CB 10,676,,,,,,
10,MN 12,Manhattan CB 2,404,,,,,,
11,BX 7,Bronx CB 7,598,BX 8,Bronx CB 8,174,BX 12,Bronx CB 12,792
12,BX 10,Bronx CB 10,212,BX 12,Bronx CB 12,792,,,
13,BX 10,Bronx CB 10,212,BX 11,Bronx CB 11,399,,,
14,BX 5,Bronx CB 5,847,BX 7,Bronx CB 7,598,,,
15,BX 6,Bronx CB 6,838,,,,,,
16,BX 4,Bronx CB 4,1136,BX 3,Bronx CB 3,932,,,
17,BX 1,Bronx CB 1,1030,BX 2,Bronx CB 2,571,BX 3,Bronx CB 3,932
18,BX 9,Bronx CB 9,864,,,,,,
19,QN 7,Queens CB 7,98,QN 11,Queens CB 11,20,,,
20,QN 7,Queens CB 7,98,QN 11,Queens CB 11,20,,,
21,QN 3,Queens CB 3,196,QN 4,Queens CB 4,118,,,
22,QN 1,Queens CB 1,335,QN 3,Queens CB 3,196,,,
23,QN 8,Queens CB 8,97,QN 11,Queens CB 11,20,QN 13,Queens CB 13,252
24,QN 8,Queens CB 8,97,,,,,,
25,QN 3,Queens CB 3,196,QN 4,Queens CB 4,118,,,
26,QN 1,Queens CB 1,335,QN 2,Queens CB 2,148,,,
27,QN 12,Queens CB 12,703,QN 13,Queens CB 13,252,,,
28,QN 9,Queens CB 9,138,QN 10,Queens CB 10,81,QN 12,Queens CB 12,703
29,QN 6,Queens CB 6,30,QN 9,Queens CB 9,138,,,
30,QN 2,Queens CB 2,148,QN 5,Queens CB 5,160,,,
31,QN 13,Queens CB 13,252,QN 14,Queens CB 14,375,,,
32,QN 9,Queens CB 9,138,QN 10,Queens CB 10,81,QN 14,Queens CB 14,375
33,BK 1,Brooklyn CB 1,244,BK 2,Brooklyn CB 2,256,,,
34,BK 1,Brooklyn CB 1,244,BK 4,Brooklyn CB 4,384,QN 5,Queens CB 5,160
